Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.539376,-68.3095,-70.1095,-70.0799,-70.0718,0,70.0718,0,0,MINE_TEST,1.25
0.572341,-68.2248,-70.0248,-70.0632,-70.0604,0,70.0604,0,0,MINE_TEST,1.25
0.603179,-68.2185,-70.0185,-70.0475,-70.0493,0,70.0493,0,0,MINE_TEST,1.25
0.631299,-68.2662,-70.0662,-70.0331,-70.0386,0,70.0386,0,0,MINE_TEST,1.25
0.662309,-68.2316,-70.0316,-70.0193,-70.0285,0,70.0285,0,0,MINE_TEST,1.25
0.693087,-68.1977,-69.9977,-70.0065,-70.0192,0,70.0192,0,0,MINE_TEST,1.25
0.723874,-68.1572,-69.9572,-69.9973,-70.011,0,70.011,0,0,MINE_TEST,1.25
0.750525,-68.1884,-69.9884,-69.9945,-70.0045,0,70.0045,0,0,MINE_TEST,1.25
0.777191,-68.1761,-69.9761,-69.9982,-70.0003,0,70.0003,0,0,MINE_TEST,1.25
0.806939,-68.2086,-70.0086,-70.0052,-69.9987,0,69.9987,0,0,MINE_TEST,1.25
0.838103,-68.2475,-70.0475,-70.0108,-69.9999,0,69.9999,0,0,MINE_TEST,1.25
0.868572,-68.2171,-70.0171,-70.012,-70.0036,0,70.0036,0,0,MINE_TEST,1.25
0.898706,-68.2283,-70.0283,-70.0094,-70.0091,0,70.0091,0,0,MINE_TEST,1.25
0.926662,-68.1805,-69.9805,-70.0071,-70.0156,0,70.0156,0,0,MINE_TEST,1.25
0.951887,-68.1644,-69.9644,-70.0095,-70.0223,0,70.0223,0,0,MINE_TEST,1.25
0.982591,-68.2208,-70.0208,-70.0181,-70.0286,0,70.0286,0,0,MINE_TEST,1.25
1.01062,-68.2307,-70.0307,-70.0306,-70.0338,0,70.0338,0,0,MINE_TEST,1.25
1.0358,-68.285,-70.085,-70.0437,-70.0379,0,70.0379,0,0,MINE_TEST,1.25
1.06363,-68.2129,-70.0129,-70.0545,-70.0411,0,70.0411,0,0,MINE_TEST,1.25
1.09407,-68.2787,-70.0787,-70.0611,-70.0439,0,70.0439,0,0,MINE_TEST,1.25
1.12289,-68.3141,-70.1141,-70.0617,-70.0468,0,70.0468,0,0,MINE_TEST,1.25
1.15162,-68.2808,-70.0808,-70.0568,-70.05,0,70.05,0,0,MINE_TEST,1.25
1.17667,-68.1773,-69.9773,-70.0495,-70.0532,0,70.0532,0,0,MINE_TEST,1.25
1.20239,-68.2732,-70.0732,-70.0442,-70.0559,0,70.0559,0,0,MINE_TEST,1.25
1.22912,-68.214,-70.014,-70.0431,-70.0572,0,70.0572,0,0,MINE_TEST,1.25
1.25665,-68.2408,-70.0408,-70.0454,-70.057,0,70.057,0,0,MINE_TEST,1.25
1.28231,-68.2754,-70.0754,-70.0494,-70.0556,0,70.0556,0,0,MINE_TEST,1.25
1.31118,-68.2475,-70.0475,-70.0539,-70.0539,0,70.0539,0,0,MINE_TEST,1.25
1.34143,-68.2247,-70.0247,-70.0585,-70.0525,0,70.0525,0,0,MINE_TEST,1.25
1.3707,-68.2976,-70.0976,-70.0623,-70.0518,-70.0386,0.0131923,0,0,MINE_TEST,1.25
1.3986,-68.267,-70.067,-70.063,-70.0518,-70.0411,0.0106395,0,0,MINE_TEST,1.25
1.42329,-68.2743,-70.0743,-70.0589,-70.0521,-70.0411,0.0109606,0,0,MINE_TEST,1.25
1.45149,-68.2854,-70.0854,-70.0505,-70.052,-70.0439,0.00807624,0,0,MINE_TEST,1.25
1.48095,-68.1986,-69.9986,-70.0414,-70.0507,-70.0439,0.0067993,0,0,MINE_TEST,1.25
1.50832,-68.2164,-70.0164,-70.0359,-70.0478,-70.0468,0.000958589,0,0,MINE_TEST,1.25
1.53681,-68.1944,-69.9944,-70.0355,-70.043,-70.0439,0.000940807,0,0,MINE_TEST,1.25
1.56629,-68.3167,-70.1167,-70.0375,-70.0367,-70.0439,0.00726754,0,0,MINE_TEST,1.25
1.59135,-68.1918,-69.9918,-70.0382,-70.0294,-70.043,0.0136288,0,0,MINE_TEST,1.25
1.6204,-68.2806,-70.0806,-70.0351,-70.0218,-70.043,0.021191,0,0,MINE_TEST,1.25
1.64983,-68.2205,-70.0205,-70.0276,-70.0146,-70.0411,0.0265437,0,0,MINE_TEST,1.25
1.68029,-68.2181,-70.0181,-70.0166,-70.0081,-70.0411,0.0330256,0,0,MINE_TEST,1.25
1.7093,-68.2162,-70.0162,-70.0034,-70.0023,-70.0386,0.036231,0,0,MINE_TEST,1.25
1.73483,-68.1903,-69.9903,-69.9899,-69.997,-70.0386,0.0415719,0,0,MINE_TEST,1.25
1.76055,-68.146,-69.946,-69.9788,-69.9918,-70.0379,0.0461542,0,0,MINE_TEST,1.25
1.78901,-68.1871,-69.9871,-69.9728,-69.9867,-70.0379,0.0512316,0,0,MINE_TEST,1.25
1.81501,-68.1086,-69.9086,-69.973,-69.9823,-70.0367,0.0543256,0,0,MINE_TEST,1.25
1.84097,-68.2008,-70.0008,-69.9777,-69.9795,-70.0367,0.0571362,0,0,MINE_TEST,1.25
1.87154,-68.2048,-70.0048,-69.983,-69.9789,-70.0338,0.0549228,0,0,MINE_TEST,1.25
1.90001,-68.2057,-70.0057,-69.9859,-69.9805,-70.0338,0.0532717,0,0,MINE_TEST,1.25
1.92992,-68.171,-69.971,-69.9864,-69.9841,-70.0294,0.0452688,0,0,MINE_TEST,1.25
1.9593,-68.1645,-69.9645,-69.9866,-69.9889,-70.0294,0.0404242,0,0,MINE_TEST,1.25
1.98509,-68.2152,-70.0152,-69.9889,-69.9945,-70.0286,0.034074,0,0,MINE_TEST,1.25
2.01042,-68.1646,-69.9646,-69.9945,-70.0003,-70.0286,0.0283165,0,0,MINE_TEST,1.25
2.04014,-68.1841,-69.9841,-70.0034,-70.0057,-70.0285,0.0228106,0,0,MINE_TEST,1.25
2.07047,-68.2315,-70.0315,-70.0139,-70.0106,-70.0285,0.0179119,0,0,MINE_TEST,1.25
2.10006,-68.229,-70.029,-70.0226,-70.015,-70.0223,0.00736462,0,0,MINE_TEST,1.25
2.129,-68.2635,-70.0635,-70.0269,-70.019,-70.0223,0.00339331,0,0,MINE_TEST,1.25
2.15421,-68.2333,-70.0333,-70.0269,-70.0225,-70.0223,0.000113883,0,0,MINE_TEST,1.25
2.18138,-68.1831,-69.9831,-70.025,-70.0251,-70.0225,0.00260747,0,0,MINE_TEST,1.25
2.21248,-68.2405,-70.0405,-70.024,-70.0262,-70.0225,0.00372295,0,0,MINE_TEST,1.25
2.24289,-68.2157,-70.0157,-70.0243,-70.0255,-70.0251,0.000382297,0,0,MINE_TEST,1.25
2.27201,-68.2324,-70.0324,-70.0251,-70.023,-70.023,0,0,0,MINE_TEST,1.25
2.29734,-68.2469,-70.0469,-70.0254,-70.0194,-70.023,0.00360822,0,0,MINE_TEST,1.25
2.32394,-68.1762,-69.9762,-70.0245,-70.0155,-70.0225,0.00695513,0,0,MINE_TEST,1.25
2.35361,-68.2653,-70.0653,-70.0214,-70.0123,-70.0225,0.0101189,0,0,MINE_TEST,1.25
2.38361,-68.2332,-70.0332,-70.0149,-70.0107,-70.0223,0.0116204,0,0,MINE_TEST,1.25
2.41355,-68.2093,-70.0093,-70.0057,-70.0111,-70.0223,0.011264,0,0,MINE_TEST,1.25
2.4425,-68.1754,-69.9754,-69.9975,-70.0133,-70.0218,0.00853714,0,0,MINE_TEST,1.25
