Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.538587,-77.4331,-79.2331,-79.1885,-79.1698,0,79.1698,0,0,MINE_TEST,1.25
0.567051,-77.3865,-79.1865,-79.1871,-79.1643,0,79.1643,0,0,MINE_TEST,1.25
0.596317,-77.3213,-79.1213,-79.1827,-79.1556,0,79.1556,0,0,MINE_TEST,1.25
0.625916,-77.3762,-79.1762,-79.1735,-79.1448,0,79.1448,0,0,MINE_TEST,1.25
0.651115,-77.55,-79.35,-79.1545,-79.1333,0,79.1333,0,0,MINE_TEST,1.25
0.676303,-77.2571,-79.0571,-79.1252,-79.1217,0,79.1217,0,0,MINE_TEST,1.25
0.705599,-77.1913,-78.9913,-79.0917,-79.1101,0,79.1101,0,0,MINE_TEST,1.25
0.73381,-77.3684,-79.1684,-79.0628,-79.0993,0,79.0993,0,0,MINE_TEST,1.25
0.759351,-77.1741,-78.9741,-79.0458,-79.0907,0,79.0907,0,0,MINE_TEST,1.25
0.785149,-77.0472,-78.8472,-79.044,-79.085,0,79.085,0,0,MINE_TEST,1.25
0.813287,-77.5109,-79.3109,-79.0567,-79.0824,0,79.0824,0,0,MINE_TEST,1.25
0.842125,-77.0429,-78.8429,-79.0789,-79.0824,0,79.0824,0,0,MINE_TEST,1.25
0.867979,-77.3502,-79.1502,-79.1026,-79.0851,0,79.0851,0,0,MINE_TEST,1.25
0.892823,-77.4673,-79.2673,-79.1191,-79.0903,0,79.0903,0,0,MINE_TEST,1.25
0.918292,-77.3707,-79.1707,-79.1248,-79.0976,0,79.0976,0,0,MINE_TEST,1.25
0.948058,-77.1885,-78.9885,-79.1243,-79.106,0,79.106,0,0,MINE_TEST,1.25
0.97613,-77.296,-79.096,-79.1244,-79.1146,0,79.1146,0,0,MINE_TEST,1.25
1.00175,-77.3968,-79.1968,-79.1264,-79.1229,0,79.1229,0,0,MINE_TEST,1.25
1.0288,-77.4279,-79.2279,-79.1276,-79.1307,0,79.1307,0,0,MINE_TEST,1.25
1.05767,-77.1611,-78.9611,-79.128,-79.138,0,79.138,0,0,MINE_TEST,1.25
1.08784,-77.3645,-79.1645,-79.13,-79.145,0,79.145,0,0,MINE_TEST,1.25
1.11672,-77.3697,-79.1697,-79.1346,-79.1517,0,79.1517,0,0,MINE_TEST,1.25
1.145,-77.3452,-79.1452,-79.1412,-79.1581,0,79.1581,0,0,MINE_TEST,1.25
1.17495,-77.3304,-79.1304,-79.1509,-79.1642,0,79.1642,0,0,MINE_TEST,1.25
1.20053,-77.2816,-79.0816,-79.1659,-79.1698,0,79.1698,0,0,MINE_TEST,1.25
1.22616,-77.4361,-79.2361,-79.1849,-79.1743,0,79.1743,0,0,MINE_TEST,1.25
1.2541,-77.4026,-79.2026,-79.2018,-79.1771,0,79.1771,0,0,MINE_TEST,1.25
1.28229,-77.5426,-79.3426,-79.2101,-79.1781,0,79.1781,0,0,MINE_TEST,1.25
1.3104,-77.2587,-79.0587,-79.2069,-79.1776,0,79.1776,0,0,MINE_TEST,1.25
1.33605,-77.5636,-79.3636,-79.1939,-79.1763,-79.1333,0.0429935,0,0,MINE_TEST,1.25
1.36155,-77.3357,-79.1357,-79.1764,-79.1752,-79.138,0.0371655,0,0,MINE_TEST,1.25
1.39021,-77.2982,-79.0982,-79.1614,-79.1748,-79.138,0.0368093,0,0,MINE_TEST,1.25
1.41947,-77.2614,-79.0614,-79.1542,-79.1756,-79.1448,0.0308058,0,0,MINE_TEST,1.25
1.45256,-77.5103,-79.3103,-79.1541,-79.1779,-79.1448,0.0330303,0,0,MINE_TEST,1.25
1.47827,-77.2292,-79.0292,-79.1578,-79.182,-79.145,0.0369519,0,0,MINE_TEST,1.25
1.50884,-77.4773,-79.2773,-79.1648,-79.1885,-79.145,0.0435394,0,0,MINE_TEST,1.25
1.53809,-77.2229,-79.0229,-79.178,-79.198,-79.1517,0.0463664,0,0,MINE_TEST,1.25
1.56731,-77.4776,-79.2776,-79.1995,-79.2101,-79.1517,0.0583899,0,0,MINE_TEST,1.25
1.59735,-77.2805,-79.0805,-79.2262,-79.2233,-79.1556,0.0677468,0,0,MINE_TEST,1.25
1.62584,-77.6622,-79.4622,-79.2504,-79.2361,-79.1556,0.0805459,0,0,MINE_TEST,1.25
1.65087,-77.4593,-79.2593,-79.2668,-79.2468,-79.1581,0.0887903,0,0,MINE_TEST,1.25
1.67922,-77.3784,-79.1784,-79.2756,-79.2542,-79.1581,0.0961916,0,0,MINE_TEST,1.25
1.70714,-77.5329,-79.3329,-79.28,-79.2575,-79.1642,0.0933694,0,0,MINE_TEST,1.25
1.7331,-77.5234,-79.3234,-79.28,-79.2565,-79.1642,0.0923529,0,0,MINE_TEST,1.25
