Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.543133,-36.2832,-38.0832,-38.093,-38.0712,0,38.0712,0,0,MINE_TEST,1.25
0.568085,-36.283,-38.083,-38.0821,-38.064,0,38.064,0,0,MINE_TEST,1.25
0.593374,-36.2897,-38.0897,-38.0674,-38.0537,0,38.0537,0,0,MINE_TEST,1.25
0.622259,-36.2566,-38.0566,-38.0475,-38.0414,0,38.0414,0,0,MINE_TEST,1.25
0.652409,-36.2436,-38.0436,-38.021,-38.0281,0,38.0281,0,0,MINE_TEST,1.25
0.677569,-36.2205,-38.0205,-37.9895,-38.0142,0,38.0142,0,0,MINE_TEST,1.25
0.702728,-36.1259,-37.9259,-37.9581,-37.9984,0,37.9984,0,0,MINE_TEST,1.25
0.73066,-36.0667,-37.8667,-37.9332,-37.978,0,37.978,0,0,MINE_TEST,1.25
0.759421,-36.11,-37.91,-37.9179,-37.9496,0,37.9496,0,0,MINE_TEST,1.25
0.787374,-36.1199,-37.9199,-37.91,-37.9116,0,37.9116,0,0,MINE_TEST,1.25
0.815639,-36.1103,-37.9103,-37.9042,-37.8651,0,37.8651,0,0,MINE_TEST,1.25
0.842257,-36.1129,-37.9129,-37.894,-37.8144,0,37.8144,0,0,MINE_TEST,1.25
0.86744,-36.0845,-37.8845,-37.8713,-37.7647,0,37.7647,0,0,MINE_TEST,1.25
0.894947,-36.094,-37.894,-37.8254,-37.7208,0,37.7208,0,0,MINE_TEST,1.25
0.920429,-36.083,-37.883,-37.748,-37.6854,0,37.6854,0,0,MINE_TEST,1.25
0.948534,-36.0543,-37.8543,-37.6443,-37.6596,0,37.6596,0,0,MINE_TEST,1.25
0.97848,-35.4456,-37.2456,-37.5407,-37.6437,0,37.6437,0,0,MINE_TEST,1.25
1.0074,-35.5026,-37.3026,-37.4748,-37.6376,0,37.6376,0,0,MINE_TEST,1.25
1.03292,-35.5414,-37.3414,-37.4741,-37.6414,0,37.6414,0,0,MINE_TEST,1.25
1.05789,-35.43,-37.23,-37.5394,-37.6557,0,37.6557,0,0,MINE_TEST,1.25
1.08543,-36.0434,-37.8434,-37.6449,-37.6808,0,37.6808,0,0,MINE_TEST,1.25
1.11419,-36.0657,-37.8657,-37.7547,-37.7165,0,37.7165,0,0,MINE_TEST,1.25
1.14283,-36.1044,-37.9044,-37.8437,-37.7621,0,37.7621,0,0,MINE_TEST,1.25
1.16852,-36.121,-37.921,-37.9055,-37.8156,0,37.8156,0,0,MINE_TEST,1.25
1.19316,-36.1599,-37.9599,-37.9471,-37.8733,0,37.8733,0,0,MINE_TEST,1.25
1.22286,-36.184,-37.984,-37.9771,-37.9301,0,37.9301,0,0,MINE_TEST,1.25
1.25346,-36.2115,-38.0115,-38.0009,-37.9801,0,37.9801,0,0,MINE_TEST,1.25
1.28355,-36.2241,-38.0241,-38.0205,-38.0186,0,38.0186,0,0,MINE_TEST,1.25
1.309,-36.243,-38.043,-38.036,-38.0436,0,38.0436,0,0,MINE_TEST,1.25
1.33802,-36.2593,-38.0593,-38.0471,-38.0567,-37.8733,0.183418,0,0,MINE_TEST,1.25
1.36385,-36.2673,-38.0673,-38.0534,-38.0611,-37.9116,0.149468,0,0,MINE_TEST,1.25
1.39038,-36.2707,-38.0707,-38.0553,-38.0603,-37.9116,0.148658,0,0,MINE_TEST,1.25
1.41921,-36.242,-38.042,-38.0545,-38.0569,-37.9301,0.126811,0,0,MINE_TEST,1.25
1.4489,-36.25,-38.05,-38.0533,-38.0527,-37.9301,0.122625,0,0,MINE_TEST,1.25
1.47912,-36.2486,-38.0486,-38.0528,-38.049,-37.9496,0.0993459,0,0,MINE_TEST,1.25
1.50775,-36.2504,-38.0504,-38.0524,-38.0467,-37.9496,0.0970295,0,0,MINE_TEST,1.25
1.53239,-36.26,-38.06,-38.0498,-38.0462,-37.978,0.0681999,0,0,MINE_TEST,1.25
1.55735,-36.2767,-38.0767,-38.0428,-38.0471,-37.978,0.0691617,0,0,MINE_TEST,1.25
1.58258,-36.2437,-38.0437,-38.0321,-38.0486,-37.9801,0.0685453,0,0,MINE_TEST,1.25
1.61329,-36.2034,-38.0034,-38.023,-38.0498,-37.9801,0.0697177,0,0,MINE_TEST,1.25
1.64255,-36.1591,-37.9591,-38.0228,-38.0503,-37.9984,0.0519191,0,0,MINE_TEST,1.25
1.67268,-36.1794,-37.9794,-38.0362,-38.0504,-37.9984,0.0520462,0,0,MINE_TEST,1.25
1.70208,-36.2613,-38.0613,-38.0596,-38.0509,-38.0142,0.0367454,0,0,MINE_TEST,1.25
1.72821,-36.3236,-38.1236,-38.0826,-38.0525,-38.0142,0.0383194,0,0,MINE_TEST,1.25
1.7532,-36.3826,-38.1826,-38.0939,-38.0558,-38.0186,0.0372364,0,0,MINE_TEST,1.25
1.7821,-36.3242,-38.1242,-38.0887,-38.0612,-38.0186,0.0426396,0,0,MINE_TEST,1.25
1.81179,-36.2603,-38.0603,-38.0717,-38.0686,-38.0281,0.0405407,0,0,MINE_TEST,1.25
1.8413,-36.2229,-38.0229,-38.054,-38.0775,-38.0281,0.0493903,0,0,MINE_TEST,1.25
1.86928,-36.1911,-37.9911,-38.0463,-38.0867,-38.0414,0.0453139,0,0,MINE_TEST,1.25
1.89434,-36.1942,-37.9942,-38.0534,-38.0951,-38.0414,0.0537457,0,0,MINE_TEST,1.25
1.92001,-36.2848,-38.0848,-38.0724,-38.102,-38.0436,0.058313,0,0,MINE_TEST,1.25
1.9503,-36.322,-38.122,-38.0953,-38.1065,-38.0436,0.0628882,0,0,MINE_TEST,1.25
1.97875,-36.3407,-38.1407,-38.114,-38.1076,-38.0462,0.0614523,0,0,MINE_TEST,1.25
2.00641,-36.3428,-38.1428,-38.1236,-38.1033,-38.0462,0.0571036,0,0,MINE_TEST,1.25
2.03215,-36.337,-38.137,-38.1227,-38.0914,-38.0467,0.0447655,0,0,MINE_TEST,1.25
2.05718,-36.3399,-38.1399,-38.1112,-38.0711,-38.0467,0.0244393,0,0,MINE_TEST,1.25
2.08537,-36.309,-38.109,-38.0904,-38.0431,-38.0467,0.00353832,0,0,MINE_TEST,1.25
2.11053,-36.2773,-38.0773,-38.0615,-38.0099,-38.0462,0.0363089,0,0,MINE_TEST,1.25
2.13519,-36.2137,-38.0137,-38.0245,-37.9743,-38.0462,0.0718956,0,0,MINE_TEST,1.25
2.16508,-36.18,-37.98,-37.9759,-37.939,-38.0436,0.104677,0,0,MINE_TEST,1.25
2.19461,-36.2089,-38.0089,-37.9112,-37.9058,-38.0436,0.137799,0,0,MINE_TEST,1.25
2.21951,-36.2385,-38.0385,-37.8345,-37.8764,-38.0431,0.166765,0,0,MINE_TEST,1.25
2.24407,-35.6362,-37.4362,-37.7648,-37.8517,-38.0431,0.191383,0,0,MINE_TEST,1.25
2.27154,-35.8235,-37.6235,-37.728,-37.8332,-38.0414,0.208156,0,0,MINE_TEST,1.25
2.30044,-35.8573,-37.6573,-37.7385,-37.8221,-38.0414,0.219224,0,0,MINE_TEST,1.25
2.32845,-35.8256,-37.6256,-37.7882,-37.8201,-38.0281,0.207989,0,0,MINE_TEST,1.25
2.35531,-36.251,-38.051,-37.8518,-37.8285,-38.0281,0.199537,0,0,MINE_TEST,1.25
2.38078,-36.208,-38.008,-37.9037,-37.8485,-38.0186,0.170026,0,0,MINE_TEST,1.25
2.40531,-36.1622,-37.9622,-37.9329,-37.8802,-38.0186,0.138362,0,0,MINE_TEST,1.25
2.43578,-36.1091,-37.9091,-37.9459,-37.9223,-38.0142,0.0918939,0,0,MINE_TEST,1.25
2.46517,-36.1204,-37.9204,-37.9575,-37.9714,-38.0142,0.0427465,0,0,MINE_TEST,1.25
2.49049,-36.142,-37.942,-37.9796,-38.022,-38.0142,0.00781654,0,0,MINE_TEST,1.25
2.51585,-36.1841,-37.9841,-38.0168,-38.067,-38.0186,0.0484168,0,0,MINE_TEST,1.25
2.54287,-36.2324,-38.0324,-38.0667,-38.1005,-38.0186,0.081903,0,0,MINE_TEST,1.25
2.57206,-36.34,-38.14,-38.1222,-38.1199,-38.022,0.0979235,0,0,MINE_TEST,1.25
2.60179,-36.4109,-38.2109,-38.173,-38.1268,-38.022,0.104847,0,0,MINE_TEST,1.25
2.63069,-36.463,-38.263,-38.2079,-38.1253,-38.0281,0.0972448,0,0,MINE_TEST,1.25
2.65574,-36.4888,-38.2888,-38.218,-38.1196,-38.0281,0.0914827,0,0,MINE_TEST,1.25
2.68174,-36.4823,-38.2823,-38.1984,-38.1119,-38.0414,0.0705536,0,0,MINE_TEST,1.25
2.71153,-36.4002,-38.2002,-38.1507,-38.1028,-38.0414,0.0614708,0,0,MINE_TEST,1.25
2.74171,-36.3136,-38.1136,-38.0845,-38.0919,-38.0431,0.0487842,0,0,MINE_TEST,1.25
2.76787,-36.1772,-37.9772,-38.0167,-38.0791,-38.0431,0.0359308,0,0,MINE_TEST,1.25
2.79289,-36.0471,-37.8471,-37.9669,-38.0651,-38.0436,0.0214231,0,0,MINE_TEST,1.25
2.8243,-36.0388,-37.8388,-37.9492,-38.0516,-38.0436,0.00798147,0,0,MINE_TEST,1.25
2.85324,-36.0856,-37.8856,-37.9657,-38.041,-38.0436,0.00266878,0,0,MINE_TEST,1.25
2.88128,-36.2202,-38.0202,-38.0047,-38.0353,-38.0431,0.00785063,0,0,MINE_TEST,1.25
2.90893,-36.3215,-38.1215,-38.0486,-38.0359,-38.0431,0.00722993,0,0,MINE_TEST,1.25
2.93389,-36.333,-38.133,-38.0829,-38.0429,-38.0429,0,0,0,MINE_TEST,1.25
2.95896,-36.312,-38.112,-38.1021,-38.0547,-38.0431,0.0115851,0,0,MINE_TEST,1.25
2.98745,-36.3234,-38.1234,-38.1089,-38.0689,-38.0431,0.025731,0,0,MINE_TEST,1.25
3.01601,-36.3112,-38.1112,-38.1085,-38.0822,-38.0436,0.0385121,0,0,MINE_TEST,1.25
3.04507,-36.2986,-38.0986,-38.1058,-38.0917,-38.0436,0.0480336,0,0,MINE_TEST,1.25
3.07499,-36.2848,-38.0848,-38.1026,-38.0954,-38.0462,0.0492727,0,0,MINE_TEST,1.25
3.1002,-36.3182,-38.1182,-38.0978,-38.093,-38.0462,0.0468308,0,0,MINE_TEST,1.25
3.12681,-36.3164,-38.1164,-38.0889,-38.0855,-38.0467,0.0388515,0,0,MINE_TEST,1.25
3.15827,-36.2859,-38.0859,-38.074,-38.0754,-38.0467,0.0286973,0,0,MINE_TEST,1.25
3.18752,-36.2715,-38.0715,-38.0549,-38.0653,-38.0471,0.0181178,0,0,MINE_TEST,1.25
3.21571,-36.2027,-38.0027,-38.0362,-38.0571,-38.0471,0.00999912,0,0,MINE_TEST,1.25
3.24179,-36.1961,-37.9961,-38.0232,-38.0513,-38.0486,0.0026131,0,0,MINE_TEST,1.25
3.26669,-36.1874,-37.9874,-38.0185,-38.0459,-38.0471,0.00126961,0,0,MINE_TEST,1.25
3.29627,-36.2228,-38.0228,-38.0203,-38.038,-38.0467,0.00865437,0,0,MINE_TEST,1.25
3.32583,-36.2453,-38.0453,-38.0239,-38.0252,-38.0462,0.0210022,0,0,MINE_TEST,1.25
3.35353,-36.2474,-38.0474,-38.0253,-38.007,-38.0459,0.0388805,0,0,MINE_TEST,1.25
3.38216,-36.2153,-38.0153,-38.0229,-37.9855,-38.0459,0.0603735,0,0,MINE_TEST,1.25
3.40834,-36.2115,-38.0115,-38.0162,-37.964,-38.0459,0.0818923,0,0,MINE_TEST,1.25
