Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.530746,-75.9652,-77.7652,-77.9507,-77.9761,0,77.9761,0,0,MINE_TEST,1.25
0.559602,-76.1996,-77.9996,-77.965,-77.9711,0,77.9711,0,0,MINE_TEST,1.25
0.590296,-76.2687,-78.0687,-77.9843,-77.9649,0,77.9649,0,0,MINE_TEST,1.25
0.620916,-76.1604,-77.9604,-77.9965,-77.9582,0,77.9582,0,0,MINE_TEST,1.25
0.650406,-76.3395,-78.1395,-77.9949,-77.9525,0,77.9525,0,0,MINE_TEST,1.25
0.676356,-76.1358,-77.9358,-77.9809,-77.9492,0,77.9492,0,0,MINE_TEST,1.25
0.701381,-76.1101,-77.9101,-77.9613,-77.9489,0,77.9489,0,0,MINE_TEST,1.25
0.72883,-76.143,-77.943,-77.9423,-77.9515,0,77.9515,0,0,MINE_TEST,1.25
0.756532,-76.232,-78.032,-77.9277,-77.9561,0,77.9561,0,0,MINE_TEST,1.25
0.784045,-75.94,-77.74,-77.9213,-77.9622,0,77.9622,0,0,MINE_TEST,1.25
0.811741,-76.1444,-77.9444,-77.9271,-77.9697,0,77.9697,0,0,MINE_TEST,1.25
0.836799,-76.1701,-77.9701,-77.947,-77.9792,0,77.9792,0,0,MINE_TEST,1.25
0.86194,-76.0736,-77.8736,-77.9782,-77.9919,0,77.9919,0,0,MINE_TEST,1.25
0.889697,-76.2198,-78.0198,-78.0139,-78.0078,0,78.0078,0,0,MINE_TEST,1.25
0.917223,-76.4035,-78.2035,-78.0458,-78.026,0,78.026,0,0,MINE_TEST,1.25
0.946081,-76.2064,-78.0064,-78.0688,-78.0449,0,78.0449,0,0,MINE_TEST,1.25
0.971615,-76.2945,-78.0945,-78.0838,-78.0628,0,78.0628,0,0,MINE_TEST,1.25
1.0019,-76.2694,-78.0694,-78.0944,-78.0787,0,78.0787,0,0,MINE_TEST,1.25
1.03134,-76.3779,-78.1779,-78.103,-78.0917,0,78.0917,0,0,MINE_TEST,1.25
1.05678,-76.2576,-78.0576,-78.1099,-78.1009,0,78.1009,0,0,MINE_TEST,1.25
1.08135,-76.2645,-78.0645,-78.1131,-78.1054,0,78.1054,0,0,MINE_TEST,1.25
1.10913,-76.4728,-78.2728,-78.1098,-78.1053,0,78.1053,0,0,MINE_TEST,1.25
1.13761,-76.2776,-78.0776,-78.0996,-78.1016,0,78.1016,0,0,MINE_TEST,1.25
1.16726,-76.2252,-78.0252,-78.0875,-78.0961,0,78.0961,0,0,MINE_TEST,1.25
1.19473,-76.2138,-78.0138,-78.0802,-78.0905,0,78.0905,0,0,MINE_TEST,1.25
1.2205,-76.3926,-78.1926,-78.0791,-78.0856,0,78.0856,0,0,MINE_TEST,1.25
1.24956,-76.1062,-77.9062,-78.0796,-78.0815,0,78.0815,0,0,MINE_TEST,1.25
1.27923,-76.5393,-78.3393,-78.0761,-78.0778,0,78.0778,0,0,MINE_TEST,1.25
1.30949,-76.1314,-77.9314,-78.0676,-78.0743,0,78.0743,0,0,MINE_TEST,1.25
1.33513,-76.2653,-78.0653,-78.0595,-78.0708,-78.026,0.0448122,0,0,MINE_TEST,1.25
1.36005,-76.1991,-77.9991,-78.0578,-78.0675,-78.0449,0.0226371,0,0,MINE_TEST,1.25
1.38538,-76.268,-78.068,-78.0627,-78.0644,-78.0449,0.0195599,0,0,MINE_TEST,1.25
1.4132,-76.281,-78.081,-78.069,-78.0613,-78.0613,0,0,0,MINE_TEST,1.25
1.44095,-76.3935,-78.1935,-78.0707,-78.0575,-78.0575,0,0,0,MINE_TEST,1.25
1.4678,-76.1095,-77.9095,-78.0657,-78.0524,-78.0575,0.00508961,0,0,MINE_TEST,1.25
1.49269,-76.4051,-78.2051,-78.0554,-78.046,-78.0524,0.00641668,0,0,MINE_TEST,1.25
1.52007,-76.1452,-77.9452,-78.042,-78.0385,-78.0524,0.0139417,0,0,MINE_TEST,1.25
