Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.534219,-75.9376,-77.7376,-77.9205,-77.9209,0,77.9209,0,0,MINE_TEST,1.25
0.559339,-76.2909,-78.0909,-77.896,-77.8935,0,77.8935,0,0,MINE_TEST,1.25
0.589183,-76.0755,-77.8755,-77.8681,-77.873,0,77.873,0,0,MINE_TEST,1.25
0.616331,-75.8916,-77.6916,-77.8432,-77.8586,0,77.8586,0,0,MINE_TEST,1.25
0.644218,-75.9782,-77.7782,-77.8281,-77.8484,0,77.8484,0,0,MINE_TEST,1.25
0.669929,-76.1522,-77.9522,-77.8242,-77.8413,0,77.8413,0,0,MINE_TEST,1.25
0.698139,-75.9447,-77.7447,-77.8297,-77.8368,0,77.8368,0,0,MINE_TEST,1.25
0.726578,-75.9804,-77.7804,-77.8423,-77.8353,0,77.8353,0,0,MINE_TEST,1.25
0.754338,-76.0691,-77.8691,-77.8569,-77.8365,0,77.8365,0,0,MINE_TEST,1.25
0.782932,-76.1555,-77.9555,-77.8646,-77.8401,0,77.8401,0,0,MINE_TEST,1.25
0.808222,-76.1497,-77.9497,-77.8591,-77.8449,0,77.8449,0,0,MINE_TEST,1.25
0.833703,-76.0401,-77.8401,-77.8446,-77.8497,0,77.8497,0,0,MINE_TEST,1.25
0.862114,-75.8547,-77.6547,-77.8344,-77.853,0,77.853,0,0,MINE_TEST,1.25
0.890872,-76.0348,-77.8348,-77.8386,-77.8541,0,77.8541,0,0,MINE_TEST,1.25
0.921003,-76.0854,-77.8854,-77.8557,-77.8533,0,77.8533,0,0,MINE_TEST,1.25
0.950549,-76.0564,-77.8564,-77.8745,-77.852,0,77.852,0,0,MINE_TEST,1.25
0.976361,-76.1858,-77.9858,-77.8831,-77.8518,0,77.8518,0,0,MINE_TEST,1.25
1.00129,-76.1734,-77.9734,-77.8773,-77.8536,0,77.8536,0,0,MINE_TEST,1.25
1.02996,-75.8867,-77.6867,-77.8617,-77.8579,0,77.8579,0,0,MINE_TEST,1.25
1.05816,-76.1808,-77.9808,-77.8457,-77.8647,0,77.8647,0,0,MINE_TEST,1.25
1.0867,-75.9275,-77.7275,-77.8386,-77.8736,0,77.8736,0,0,MINE_TEST,1.25
1.11535,-76.0059,-77.8059,-77.8463,-77.884,0,77.884,0,0,MINE_TEST,1.25
1.14115,-76.0073,-77.8073,-77.8698,-77.8951,0,77.8951,0,0,MINE_TEST,1.25
1.16647,-76.1553,-77.9553,-77.9035,-77.9067,0,77.9067,0,0,MINE_TEST,1.25
1.19545,-76.1154,-77.9154,-77.9371,-77.9192,0,77.9192,0,0,MINE_TEST,1.25
1.22483,-76.2687,-78.0687,-77.9613,-77.9336,0,77.9336,0,0,MINE_TEST,1.25
1.25498,-76.1707,-77.9707,-77.9734,-77.9501,0,77.9501,0,0,MINE_TEST,1.25
1.28157,-76.2303,-78.0303,-77.9788,-77.9688,0,77.9688,0,0,MINE_TEST,1.25
1.30687,-76.0162,-77.8162,-77.9868,-77.9896,0,77.9896,0,0,MINE_TEST,1.25
1.33548,-76.2212,-78.0212,-78.0019,-78.0121,-77.8579,0.154156,0,0,MINE_TEST,1.25
1.36424,-76.3135,-78.1135,-78.0212,-78.0348,-77.8586,0.176236,0,0,MINE_TEST,1.25
1.39371,-76.2212,-78.0212,-78.0392,-78.0558,-77.8586,0.197255,0,0,MINE_TEST,1.25
1.42382,-76.2078,-78.0078,-78.0537,-78.0729,-77.8647,0.208221,0,0,MINE_TEST,1.25
1.44948,-76.3395,-78.1395,-78.0667,-78.0847,-77.8647,0.219975,0,0,MINE_TEST,1.25
1.4739,-76.2327,-78.0327,-78.0818,-78.0911,-77.873,0.218029,0,0,MINE_TEST,1.25
