t,px,py,pz,vx,vy,vz,ax,ay,az
5.93,2.81739,1.29658,0.951477,0.441872,0.332097,0.0175731,-0.0205766,0.0614673,0.0119286
5.94,2.82181,1.29991,0.951653,0.441668,0.332717,0.017692,-0.0201341,0.0625338,0.0118621
5.95,2.82622,1.30324,0.95183,0.441469,0.333347,0.0178103,-0.0196917,0.0636003,0.0117956
5.96,2.83064,1.30657,0.952009,0.441274,0.333989,0.0179279,-0.0192493,0.0646668,0.0117291
5.97,2.83505,1.30992,0.952189,0.441084,0.334641,0.0180449,-0.0188068,0.0657333,0.0116626
5.98,2.83946,1.31327,0.95237,0.440898,0.335303,0.0181612,-0.0183644,0.0667998,0.0115961
5.99,2.84386,1.31662,0.952552,0.440717,0.335977,0.0182768,-0.017922,0.0678663,0.0115296
6,2.84827,1.31999,0.952735,0.44054,0.336661,0.0183918,-0.0174795,0.0689328,0.0114631
6.01,2.85268,1.32336,0.95292,0.440367,0.337355,0.0185061,-0.0170371,0.0699993,0.0113966
6.02,2.85708,1.32673,0.953106,0.440199,0.338061,0.0186197,-0.0165947,0.0710658,0.0113301
6.03,2.86148,1.33012,0.953292,0.440035,0.338777,0.0187327,-0.0161522,0.0721323,0.0112636
6.04,2.86588,1.33351,0.95348,0.439876,0.339503,0.018845,-0.0157098,0.0731988,0.0111971
6.05,2.87028,1.33691,0.953669,0.439721,0.340241,0.0189566,-0.0152674,0.0742653,0.0111306
6.06,2.87467,1.34031,0.953859,0.439571,0.340988,0.0190676,-0.0148249,0.0753318,0.0110641
6.07,2.87907,1.34373,0.954051,0.439425,0.341747,0.0191779,-0.0143825,0.0763983,0.0109976
6.08,2.88346,1.34715,0.954243,0.439283,0.342516,0.0192875,-0.0139401,0.0774648,0.0109311
6.09,2.88785,1.35058,0.954436,0.439146,0.343296,0.0193965,-0.0134976,0.0785313,0.0108646
6.1,2.8901,1.35234,0.954536,0.439077,0.3437,0.0194521,-0.013271,0.0790776,0.0108305
6.11,2.89449,1.35578,0.954731,0.438943,0.344499,0.0195548,-0.013557,0.0806839,0.00970312
6.12,2.89888,1.35923,0.954927,0.438806,0.345314,0.0196462,-0.013843,0.0822903,0.00857571
6.13,2.90327,1.36268,0.955124,0.438666,0.346145,0.0197263,-0.0141291,0.0838966,0.00744829
6.14,2.90766,1.36615,0.955321,0.438523,0.346992,0.0197951,-0.0144151,0.085503,0.00632088
6.15,2.91204,1.36962,0.95552,0.438378,0.347855,0.0198527,-0.0147011,0.0871093,0.00519346
6.16,2.91642,1.37311,0.955718,0.438229,0.348734,0.019899,-0.0149871,0.0887157,0.00406605
6.17,2.9208,1.3766,0.955918,0.438078,0.349629,0.019934,-0.0152731,0.090322,0.00293863
6.18,2.92518,1.3801,0.956117,0.437924,0.35054,0.0199578,-0.0155592,0.0919284,0.00181122
6.19,2.92956,1.38361,0.956317,0.437767,0.351468,0.0199702,-0.0158452,0.0935347,0.000683805
6.2,2.93394,1.38713,0.956516,0.437607,0.352411,0.0199714,-0.0161312,0.095141,-0.000443609
6.21,2.93832,1.39066,0.956716,0.437444,0.35337,0.0199614,-0.0164172,0.0967474,-0.00157102
6.22,2.94269,1.3942,0.956916,0.437279,0.354346,0.01994,-0.0167032,0.0983537,-0.00269844
6.23,2.94706,1.39775,0.957115,0.43711,0.355338,0.0199074,-0.0169893,0.0999601,-0.00382585
6.24,2.95143,1.4013,0.957314,0.436939,0.356345,0.0198635,-0.0172753,0.101566,-0.00495327
6.25,2.9558,1.40487,0.957512,0.436765,0.357369,0.0198083,-0.0175613,0.103173,-0.00608068
6.26,2.96017,1.40845,0.95771,0.436588,0.358409,0.0197419,-0.0178473,0.104779,-0.0072081
6.27,2.96453,1.41204,0.957907,0.436408,0.359464,0.0196642,-0.0181333,0.106385,-0.00833551
6.28,2.96889,1.41564,0.958103,0.436225,0.360536,0.0195752,-0.0184194,0.107992,-0.00946292
6.29,2.97326,1.41925,0.958298,0.436039,0.361624,0.0194749,-0.0187054,0.109598,-0.0105903
6.3,2.97762,1.42287,0.958493,0.435851,0.362728,0.0193634,-0.0189914,0.111204,-0.0117178
6.31,2.98197,1.42651,0.958686,0.43566,0.363848,0.0192406,-0.0192774,0.112811,-0.0128452
6.32,2.98218,1.42667,0.958695,0.435651,0.363901,0.0192346,-0.0192907,0.112885,-0.0128975
6.33,2.98653,1.43032,0.958886,0.435465,0.365027,0.0191034,-0.0179145,0.112423,-0.013335
6.34,2.99088,1.43398,0.959077,0.435292,0.366149,0.0189679,-0.0165382,0.111961,-0.0137726
6.35,2.99524,1.43764,0.959266,0.435134,0.367267,0.018828,-0.015162,0.111499,-0.0142101
6.36,2.99959,1.44132,0.959453,0.434989,0.368379,0.0186837,-0.0137857,0.111037,-0.0146476
6.37,3.00394,1.44501,0.959639,0.434858,0.369487,0.018535,-0.0124095,0.110575,-0.0150852
6.38,3.00828,1.44871,0.959824,0.434741,0.370591,0.018382,-0.0110332,0.110113,-0.0155227
6.39,3.01263,1.45242,0.960007,0.434638,0.37169,0.0182246,-0.00965696,0.109651,-0.0159602
6.4,3.01698,1.45614,0.960188,0.434548,0.372784,0.0180628,-0.00828071,0.109188,-0.0163978
6.41,3.02132,1.45988,0.960368,0.434472,0.373873,0.0178966,-0.00690446,0.108726,-0.0168353
6.42,3.02567,1.46362,0.960546,0.43441,0.374958,0.0177261,-0.00552821,0.108264,-0.0172728
6.43,3.03001,1.46738,0.960723,0.434361,0.376039,0.0175511,-0.00415196,0.107802,-0.0177104
6.44,3.03435,1.47114,0.960897,0.434327,0.377114,0.0173719,-0.00277571,0.10734,-0.0181479
6.45,3.0387,1.47492,0.96107,0.434306,0.378185,0.0171882,-0.00139946,0.106878,-0.0185854
6.46,3.04304,1.47871,0.961241,0.434299,0.379252,0.0170001,-2.32098e-05,0.106416,-0.0190229
6.47,3.04738,1.4825,0.96141,0.434305,0.380314,0.0168077,0.00135304,0.105954,-0.0194605
6.48,3.05173,1.48631,0.961577,0.434326,0.381371,0.0166109,0.00272929,0.105492,-0.019898
6.49,3.05607,1.49013,0.961742,0.43436,0.382423,0.0164098,0.00410554,0.105029,-0.0203355
6.5,3.06041,1.49396,0.961905,0.434408,0.383471,0.0162042,0.00548179,0.104567,-0.0207731
6.51,3.06476,1.4978,0.962066,0.43447,0.384515,0.0159943,0.00685804,0.104105,-0.0212106
6.52,3.0691,1.50165,0.962225,0.434545,0.385554,0.01578,0.00823429,0.103643,-0.0216481
6.53,3.07345,1.50551,0.962382,0.434634,0.386588,0.0155613,0.00961054,0.103181,-0.0220857
6.54,3.07395,1.50596,0.9624,0.434645,0.386706,0.0155359,0.00976879,0.103128,-0.022136
6.55,3.0783,1.50983,0.962554,0.434742,0.387744,0.0153181,0.00953261,0.104491,-0.021426
6.56,3.08264,1.51371,0.962706,0.434836,0.388796,0.0151074,0.00929644,0.105855,-0.0207159
6.57,3.08699,1.5176,0.962856,0.434928,0.389862,0.0149038,0.00906026,0.107218,-0.0200059
6.58,3.09134,1.52151,0.963004,0.435017,0.390941,0.0147073,0.00882408,0.108582,-0.0192959
6.59,3.09569,1.52542,0.96315,0.435104,0.392033,0.0145179,0.0085879,0.109945,-0.0185858
6.6,3.10004,1.52935,0.963295,0.435189,0.393139,0.0143356,0.00835172,0.111309,-0.0178758
6.61,3.1044,1.53329,0.963437,0.435271,0.394259,0.0141604,0.00811554,0.112672,-0.0171658
6.62,3.10875,1.53723,0.963578,0.435351,0.395393,0.0139922,0.00787936,0.114036,-0.0164557
6.63,3.1131,1.54119,0.963717,0.435429,0.39654,0.0138312,0.00764318,0.115399,-0.0157457
6.64,3.11746,1.54517,0.963854,0.435504,0.397701,0.0136773,0.007407,0.116763,-0.0150357
6.65,3.12181,1.54915,0.963991,0.435577,0.398875,0.0135305,0.00717082,0.118127,-0.0143256
6.66,3.12617,1.55314,0.964125,0.435648,0.400063,0.0133908,0.00693464,0.11949,-0.0136156
6.67,3.13053,1.55715,0.964258,0.435716,0.401265,0.0132582,0.00669846,0.120854,-0.0129056
6.68,3.13488,1.56117,0.96439,0.435782,0.40248,0.0131327,0.00646228,0.122217,-0.0121955
6.69,3.13924,1.5652,0.964521,0.435845,0.403709,0.0130143,0.0062261,0.123581,-0.0114855
6.7,3.1436,1.56924,0.964651,0.435906,0.404952,0.012903,0.00598992,0.124944,-0.0107755
6.71,3.14796,1.5733,0.964779,0.435965,0.406208,0.0127988,0.00575374,0.126308,-0.0100654
6.72,3.15232,1.57737,0.964907,0.436021,0.407478,0.0127017,0.00551756,0.127671,-0.00935541
6.73,3.15668,1.58145,0.965033,0.436075,0.408762,0.0126117,0.00528138,0.129035,-0.00864538
6.74,3.16104,1.58554,0.965159,0.436127,0.410059,0.0125288,0.0050452,0.130398,-0.00793535
6.75,3.1654,1.58965,0.965284,0.436176,0.41137,0.012453,0.00480902,0.131762,-0.00722532
6.76,3.16553,1.58977,0.965288,0.436178,0.411409,0.0124508,0.00480192,0.131803,-0.00720396
6.77,3.1699,1.59389,0.965412,0.436225,0.412714,0.0123802,0.00470273,0.129191,-0.00692078
6.78,3.17426,1.59803,0.965535,0.436272,0.413993,0.0123124,0.00460354,0.12658,-0.00663761
6.79,3.17862,1.60217,0.965658,0.436317,0.415246,0.0122474,0.00450435,0.123968,-0.00635443
6.8,3.18299,1.60633,0.96578,0.436362,0.416473,0.0121853,0.00440515,0.121356,-0.00607125
6.81,3.18735,1.6105,0.965902,0.436405,0.417673,0.012126,0.00430596,0.118745,-0.00578808
6.82,3.19171,1.61469,0.966023,0.436448,0.418847,0.0120695,0.00420677,0.116133,-0.0055049
6.83,3.19608,1.61888,0.966143,0.436489,0.419996,0.0120159,0.00410758,0.113522,-0.00522173
6.84,3.20044,1.62309,0.966263,0.43653,0.421118,0.0119651,0.00400839,0.11091,-0.00493855
6.85,3.20481,1.6273,0.966382,0.43657,0.422214,0.0119171,0.0039092,0.108298,-0.00465538
6.86,3.20917,1.63153,0.966501,0.436608,0.423284,0.011872,0.00381001,0.105687,-0.0043722
6.87,3.21354,1.63577,0.96662,0.436646,0.424328,0.0118297,0.00371082,0.103075,-0.00408903
6.88,3.21791,1.64002,0.966738,0.436682,0.425345,0.0117902,0.00361162,0.100464,-0.00380585
6.89,3.22227,1.64427,0.966856,0.436718,0.426337,0.0117536,0.00351243,0.0978519,-0.00352267
6.9,3.22664,1.64854,0.966973,0.436753,0.427302,0.0117198,0.00341324,0.0952403,-0.0032395
6.91,3.23101,1.65282,0.96709,0.436786,0.428242,0.0116888,0.00331405,0.0926287,-0.00295632
6.92,3.23538,1.65711,0.967207,0.436819,0.429155,0.0116606,0.00321486,0.0900171,-0.00267315
6.93,3.23975,1.6614,0.967323,0.436851,0.430042,0.0116353,0.00311567,0.0874055,-0.00238997
6.94,3.24411,1.66571,0.967439,0.436881,0.430903,0.0116128,0.00301648,0.0847939,-0.0021068
6.95,3.24848,1.67002,0.967556,0.436911,0.431738,0.0115932,0.00291729,0.0821823,-0.00182362
6.96,3.25285,1.67434,0.967671,0.43694,0.432547,0.0115764,0.00281809,0.0795707,-0.00154044
6.97,3.25722,1.67867,0.967787,0.436967,0.433329,0.0115624,0.0027189,0.0769591,-0.00125727
6.98,3.26159,1.68301,0.967903,0.436994,0.434086,0.0115512,0.00261971,0.0743475,-0.000974093
6.99,3.26596,1.68735,0.968018,0.43702,0.434816,0.0115429,0.00252052,0.0717359,-0.000690918
7,3.26902,1.6904,0.968099,0.437037,0.435313,0.0115388,0.00245102,0.0699061,-0.000492515
7.01,3.27339,1.69476,0.968214,0.437063,0.436004,0.0115332,0.0026911,0.068347,-0.000613813
7.02,3.27777,1.69912,0.96833,0.437091,0.436679,0.0115265,0.00293118,0.066788,-0.00073511
7.03,3.28214,1.70349,0.968445,0.437121,0.43734,0.0115185,0.00317125,0.065229,-0.000856408
7.04,3.28651,1.70787,0.96856,0.437154,0.437984,0.0115094,0.00341133,0.06367,-0.000977705
7.05,3.29088,1.71225,0.968675,0.43719,0.438613,0.011499,0.00365141,0.0621109,-0.001099
7.06,3.29525,1.71664,0.96879,0.437227,0.439226,0.0114874,0.00389149,0.0605519,-0.0012203
7.07,3.29962,1.72104,0.968905,0.437267,0.439824,0.0114746,0.00413156,0.0589929,-0.0013416
7.08,3.304,1.72544,0.969019,0.43731,0.440406,0.0114605,0.00437164,0.0574339,-0.0014629
7.09,3.30837,1.72984,0.969134,0.437355,0.440973,0.0114453,0.00461172,0.0558748,-0.00158419
7.1,3.31274,1.73426,0.969248,0.437402,0.441524,0.0114289,0.00485179,0.0543158,-0.00170549
7.11,3.31712,1.73867,0.969363,0.437452,0.442059,0.0114112,0.00509187,0.0527568,-0.00182679
7.12,3.32149,1.7431,0.969477,0.437504,0.442579,0.0113923,0.00533195,0.0511977,-0.00194809
7.13,3.32587,1.74753,0.96959,0.437559,0.443083,0.0113722,0.00557202,0.0496387,-0.00206938
7.14,3.33024,1.75196,0.969704,0.437615,0.443572,0.0113509,0.0058121,0.0480797,-0.00219068
7.15,3.33462,1.7564,0.969817,0.437675,0.444045,0.0113284,0.00605218,0.0465207,-0.00231198
7.16,3.339,1.76084,0.969931,0.437736,0.444502,0.0113047,0.00629226,0.0449616,-0.00243328
7.17,3.34338,1.76529,0.970043,0.437801,0.444944,0.0112798,0.00653233,0.0434026,-0.00255457
7.18,3.34775,1.76974,0.970156,0.437867,0.44537,0.0112536,0.00677241,0.0418436,-0.00267587
7.19,3.35213,1.77419,0.970269,0.437936,0.445781,0.0112262,0.00701249,0.0402845,-0.00279717
7.2,3.35651,1.77865,0.970381,0.438007,0.446176,0.0111977,0.00725256,0.0387255,-0.00291847
7.21,3.36089,1.78312,0.970492,0.438081,0.446555,0.0111679,0.00749264,0.0371665,-0.00303976
7.22,3.36527,1.78759,0.970604,0.438157,0.446919,0.0111369,0.00773272,0.0356075,-0.00316106
7.23,3.36966,1.79206,0.970715,0.438236,0.447267,0.0111046,0.00797279,0.0340484,-0.00328236
7.24,3.3727,1.79516,0.970792,0.438292,0.4475,0.0110816,0.00813946,0.0329661,-0.00336657
7.25,3.37708,1.79964,0.970903,0.438371,0.447816,0.0110528,0.00769135,0.030291,-0.00238471
7.26,3.38147,1.80412,0.971013,0.438446,0.448106,0.0110339,0.00724324,0.027616,-0.00140284
7.27,3.38585,1.8086,0.971124,0.438516,0.448369,0.0110248,0.00679513,0.0249409,-0.00042098
7.28,3.39024,1.81309,0.971234,0.438581,0.448605,0.0110255,0.00634702,0.0222658,0.000560882
7.29,3.39462,1.81757,0.971344,0.438643,0.448814,0.011036,0.00589891,0.0195908,0.00154274
7.3,3.39901,1.82206,0.971455,0.438699,0.448996,0.0110563,0.0054508,0.0169157,0.00252461
7.31,3.4034,1.82655,0.971565,0.438752,0.449152,0.0110865,0.00500269,0.0142406,0.00350647
7.32,3.40778,1.83105,0.971676,0.438799,0.449281,0.0111264,0.00455458,0.0115656,0.00448833
7.33,3.41217,1.83554,0.971788,0.438843,0.449383,0.0111762,0.00410647,0.00889052,0.00547019
7.34,3.41656,1.84003,0.9719,0.438882,0.449459,0.0112358,0.00365836,0.00621545,0.00645206
7.35,3.42095,1.84453,0.972013,0.438916,0.449508,0.0113053,0.00321025,0.00354039,0.00743392
7.36,3.42534,1.84902,0.972126,0.438946,0.44953,0.0113845,0.00276214,0.000865326,0.00841578
7.37,3.42973,1.85352,0.97224,0.438971,0.449525,0.0114736,0.00231403,-0.00180974,0.00939764
7.38,3.43412,1.85801,0.972356,0.438992,0.449494,0.0115725,0.00186592,-0.0044848,0.0103795
7.39,3.43851,1.86251,0.972472,0.439008,0.449435,0.0116812,0.00141781,-0.00715987,0.0113614
7.4,3.4429,1.867,0.972589,0.43902,0.44935,0.0117997,0.000969697,-0.00983493,0.0123432
7.41,3.44729,1.87149,0.972708,0.439028,0.449239,0.011928,0.000521587,-0.01251,0.0133251
7.42,3.45168,1.87599,0.972828,0.439031,0.4491,0.0120662,7.34762e-05,-0.0151851,0.014307
7.43,3.45607,1.88048,0.972949,0.439029,0.448935,0.0122142,-0.000374634,-0.0178601,0.0152888
7.44,3.46046,1.88497,0.973072,0.439023,0.448743,0.012372,-0.000822745,-0.0205352,0.0162707
7.45,3.46485,1.88945,0.973197,0.439013,0.448524,0.0125396,-0.00127086,-0.0232103,0.0172525
7.46,3.46924,1.89394,0.973323,0.438998,0.448279,0.012717,-0.00171897,-0.0258853,0.0182344
7.47,3.47363,1.89842,0.973451,0.438979,0.448007,0.0129043,-0.00216708,-0.0285604,0.0192163
7.48,3.47495,1.89976,0.97349,0.438972,0.44792,0.0129625,-0.00230173,-0.0293642,0.0195113
7.49,3.47934,1.90424,0.973621,0.438947,0.447628,0.0131558,-0.00256744,-0.0289011,0.019159
7.5,3.48373,1.90872,0.973753,0.43892,0.447342,0.0133456,-0.00283315,-0.028438,0.0188068
7.51,3.48812,1.91319,0.973887,0.438891,0.447059,0.013532,-0.00309885,-0.0279749,0.0184545
7.52,3.49251,1.91766,0.974024,0.438858,0.446782,0.0137147,-0.00336456,-0.0275118,0.0181023
7.53,3.49689,1.92212,0.974162,0.438823,0.446509,0.013894,-0.00363027,-0.0270487,0.01775
7.54,3.50128,1.92659,0.974302,0.438786,0.446241,0.0140697,-0.00389598,-0.0265856,0.0173978
7.55,3.50567,1.93105,0.974443,0.438746,0.445977,0.014242,-0.00416169,-0.0261225,0.0170455
7.56,3.51006,1.93551,0.974586,0.438703,0.445719,0.0144106,-0.0044274,-0.0256594,0.0166932
7.57,3.51444,1.93996,0.974731,0.438657,0.445464,0.0145758,-0.00469311,-0.0251962,0.016341
7.58,3.51883,1.94442,0.974878,0.438609,0.445215,0.0147375,-0.00495881,-0.0247331,0.0159887
7.59,3.52322,1.94887,0.975026,0.438558,0.44497,0.0148956,-0.00522452,-0.02427,0.0156365
7.6,3.5276,1.95332,0.975176,0.438504,0.444729,0.0150502,-0.00549023,-0.0238069,0.0152842
7.61,3.53199,1.95776,0.975327,0.438448,0.444494,0.0152013,-0.00575594,-0.0233438,0.0149319
7.62,3.53637,1.96221,0.97548,0.438389,0.444262,0.0153488,-0.00602165,-0.0228807,0.0145797
7.63,3.54075,1.96665,0.975634,0.438328,0.444036,0.0154929,-0.00628736,-0.0224176,0.0142274
7.64,3.54514,1.97109,0.97579,0.438263,0.443814,0.0156334,-0.00655307,-0.0219545,0.0138752
7.65,3.54952,1.97552,0.975947,0.438197,0.443597,0.0157704,-0.00681877,-0.0214914,0.0135229
7.66,3.5539,1.97996,0.976105,0.438127,0.443384,0.0159038,-0.00708448,-0.0210283,0.0131707
7.67,3.55828,1.98439,0.976265,0.438055,0.443176,0.0160338,-0.00735019,-0.0205652,0.0128184
7.68,3.56266,1.98882,0.976426,0.43798,0.442973,0.0161602,-0.0076159,-0.0201021,0.0124661
7.69,3.56704,1.99325,0.976588,0.437903,0.442774,0.0162831,-0.00788161,-0.0196389,0.0121139
7.7,3.57142,1.99768,0.976751,0.437822,0.44258,0.0164025,-0.00814732,-0.0191758,0.0117616
7.71,3.5758,2.0021,0.976916,0.43774,0.442391,0.0165183,-0.00841303,-0.0187127,0.0114094
7.72,3.58017,2.00652,0.977082,0.437654,0.442206,0.0166307,-0.00867873,-0.0182496,0.0110571
7.73,3.58455,2.01095,0.977249,0.437566,0.442026,0.0167395,-0.00894444,-0.0177865,0.0107048
7.74,3.58893,2.01537,0.977416,0.437475,0.44185,0.0168448,-0.00921015,-0.0173234,0.0103526
7.75,3.5933,2.01978,0.977585,0.437382,0.441679,0.0169465,-0.00947586,-0.0168603,0.0100003
7.76,3.59767,2.0242,0.977755,0.437286,0.441513,0.0170448,-0.00974157,-0.0163972,0.00964807
7.77,3.60205,2.02861,0.977926,0.437187,0.441351,0.0171395,-0.0100073,-0.0159341,0.00929581
7.78,3.60642,2.03303,0.978098,0.437086,0.441194,0.0172307,-0.010273,-0.015471,0.00894355
7.79,3.61079,2.03744,0.978271,0.436982,0.441042,0.0173184,-0.0105387,-0.0150079,0.00859129
7.8,3.61516,2.04185,0.978445,0.436875,0.440894,0.0174025,-0.0108044,-0.0145448,0.00823903
7.81,3.61762,2.04433,0.978543,0.436813,0.440813,0.0174484,-0.0109543,-0.0142835,0.00804029
7.82,3.62199,2.04874,0.978718,0.436699,0.440672,0.0175274,-0.0118872,-0.0139275,0.0077417
7.83,3.62636,2.05315,0.978893,0.436576,0.440534,0.0176033,-0.0128201,-0.0135716,0.00744311
7.84,3.63072,2.05755,0.97907,0.436443,0.4404,0.0176762,-0.013753,-0.0132157,0.00714452
7.85,3.63508,2.06196,0.979247,0.436301,0.44027,0.0177462,-0.0146859,-0.0128597,0.00684593
7.86,3.63945,2.06636,0.979425,0.436149,0.440143,0.0178131,-0.0156188,-0.0125038,0.00654734
7.87,3.64381,2.07076,0.979603,0.435988,0.44002,0.0178771,-0.0165517,-0.0121479,0.00624876
7.88,3.64817,2.07516,0.979782,0.435818,0.4399,0.0179381,-0.0174846,-0.0117919,0.00595017
7.89,3.65252,2.07956,0.979962,0.435639,0.439784,0.0179961,-0.0184175,-0.011436,0.00565158
7.9,3.65688,2.08395,0.980142,0.43545,0.439671,0.0180511,-0.0193504,-0.0110801,0.00535299
7.91,3.66123,2.08835,0.980323,0.435252,0.439562,0.0181032,-0.0202833,-0.0107241,0.0050544
7.92,3.66558,2.09275,0.980504,0.435044,0.439457,0.0181522,-0.0212162,-0.0103682,0.00475581
7.93,3.66993,2.09714,0.980686,0.434827,0.439355,0.0181983,-0.0221491,-0.0100123,0.00445722
7.94,3.67428,2.10153,0.980868,0.434601,0.439257,0.0182414,-0.023082,-0.00965633,0.00415863
7.95,3.67863,2.10592,0.981051,0.434366,0.439162,0.0182815,-0.0240149,-0.0093004,0.00386004
7.96,3.68297,2.11032,0.981234,0.434121,0.439071,0.0183186,-0.0249478,-0.00894446,0.00356146
7.97,3.68731,2.11471,0.981417,0.433867,0.438983,0.0183527,-0.0258807,-0.00858853,0.00326287
7.98,3.69165,2.1191,0.981601,0.433603,0.438899,0.0183838,-0.0268136,-0.0082326,0.00296428
7.99,3.69598,2.12348,0.981785,0.43333,0.438818,0.018412,-0.0277465,-0.00787666,0.00266569
8,3.70031,2.12787,0.981969,0.433048,0.438741,0.0184371,-0.0286793,-0.00752073,0.0023671
8.01,3.70464,2.13226,0.982154,0.432757,0.438668,0.0184593,-0.0296122,-0.00716479,0.00206851
8.02,3.70897,2.13664,0.982338,0.432456,0.438598,0.0184785,-0.0305451,-0.00680886,0.00176992
8.03,3.71329,2.14103,0.982523,0.432146,0.438532,0.0184947,-0.031478,-0.00645292,0.00147133
8.04,3.71761,2.14542,0.982708,0.431826,0.438469,0.0185079,-0.0324109,-0.00609699,0.00117274
8.05,3.72193,2.1498,0.982893,0.431498,0.43841,0.0185182,-0.0333438,-0.00574105,0.000874156
8.06,3.72624,2.15418,0.983078,0.43116,0.438354,0.0185254,-0.0342767,-0.00538512,0.000575567
8.07,3.73055,2.15857,0.983264,0.430812,0.438302,0.0185297,-0.0352096,-0.00502919,0.000276978
8.08,3.73486,2.16295,0.983449,0.430455,0.438254,0.018531,-0.0361425,-0.00467325,-2.16108e-05
8.09,3.73916,2.16733,0.983634,0.430089,0.438209,0.0185293,-0.0370754,-0.00431732,-0.0003202
8.1,3.74346,2.17171,0.98382,0.429714,0.438167,0.0185246,-0.0380083,-0.00396138,-0.000618789
8.11,3.74775,2.1761,0.984005,0.429329,0.438129,0.0185169,-0.0389412,-0.00360545,-0.000917377
8.12,3.75204,2.18048,0.98419,0.428935,0.438095,0.0185062,-0.0398741,-0.00324951,-0.00121597
8.13,3.75633,2.18486,0.984375,0.428532,0.438064,0.0184926,-0.040807,-0.00289358,-0.00151456
8.14,3.76062,2.18924,0.98456,0.428119,0.438037,0.0184759,-0.0417399,-0.00253765,-0.00181314
8.15,3.76489,2.19362,0.984744,0.427697,0.438014,0.0184563,-0.0426728,-0.00218171,-0.00211173
8.16,3.76905,2.19788,0.984924,0.427278,0.437994,0.0184344,-0.0435798,-0.00183566,-0.00240203
8.17,3.77332,2.20226,0.985108,0.426844,0.437975,0.0184096,-0.0431699,-0.00202711,-0.00253975
8.18,3.77759,2.20664,0.985292,0.426414,0.437954,0.0183836,-0.0427601,-0.00221856,-0.00267748
8.19,3.78185,2.21102,0.985476,0.425989,0.43793,0.0183561,-0.0423503,-0.00241001,-0.00281521
8.2,3.78611,2.21539,0.985659,0.425567,0.437905,0.0183273,-0.0419404,-0.00260146,-0.00295294
8.21,3.79036,2.21977,0.985842,0.42515,0.437878,0.018297,-0.0415306,-0.00279291,-0.00309066
8.22,3.79461,2.22415,0.986025,0.424737,0.43785,0.0182654,-0.0411207,-0.00298436,-0.00322839
8.23,3.79886,2.22853,0.986207,0.424327,0.437819,0.0182325,-0.0407109,-0.00317581,-0.00336612
8.24,3.8031,2.23291,0.98639,0.423922,0.437786,0.0181981,-0.0403011,-0.00336725,-0.00350385
8.25,3.80733,2.23729,0.986571,0.423521,0.437751,0.0181624,-0.0398912,-0.0035587,-0.00364157
8.26,3.81157,2.24166,0.986753,0.423124,0.437715,0.0181253,-0.0394814,-0.00375015,-0.0037793
8.27,3.8158,2.24604,0.986934,0.422732,0.437676,0.0180868,-0.0390715,-0.0039416,-0.00391703
8.28,3.82002,2.25042,0.987115,0.422343,0.437636,0.0180469,-0.0386617,-0.00413305,-0.00405475
8.29,3.82424,2.25479,0.987295,0.421958,0.437594,0.0180057,-0.0382519,-0.0043245,-0.00419248
8.3,3.82846,2.25917,0.987475,0.421578,0.43755,0.0179631,-0.037842,-0.00451595,-0.00433021
8.31,3.83267,2.26354,0.987654,0.421202,0.437503,0.0179191,-0.0374322,-0.00470739,-0.00446794
8.32,3.83688,2.26792,0.987833,0.420829,0.437455,0.0178737,-0.0370223,-0.00489884,-0.00460566
8.33,3.84109,2.27229,0.988012,0.420461,0.437405,0.017827,-0.0366125,-0.00509029,-0.00474339
8.34,3.84529,2.27667,0.98819,0.420097,0.437354,0.0177789,-0.0362027,-0.00528174,-0.00488112
8.35,3.84949,2.28104,0.988367,0.419737,0.4373,0.0177294,-0.0357928,-0.00547319,-0.00501885
8.36,3.85369,2.28541,0.988544,0.419381,0.437244,0.0176785,-0.035383,-0.00566464,-0.00515657
8.37,3.85788,2.28979,0.988721,0.419029,0.437187,0.0176262,-0.0349731,-0.00585609,-0.0052943
8.38,3.86207,2.29416,0.988897,0.418682,0.437127,0.0175726,-0.0345633,-0.00604754,-0.00543203
8.39,3.86625,2.29853,0.989072,0.418338,0.437066,0.0175176,-0.0341535,-0.00623898,-0.00556976
8.4,3.87044,2.3029,0.989247,0.417999,0.437002,0.0174612,-0.0337436,-0.00643043,-0.00570748
8.41,3.87461,2.30727,0.989421,0.417663,0.436937,0.0174035,-0.0333338,-0.00662188,-0.00584521
8.42,3.87879,2.31164,0.989595,0.417332,0.43687,0.0173443,-0.0329239,-0.00681333,-0.00598294
8.43,3.88296,2.31601,0.989768,0.417005,0.436801,0.0172838,-0.0325141,-0.00700478,-0.00612067
8.44,3.88713,2.32037,0.989941,0.416682,0.43673,0.0172219,-0.0321043,-0.00719623,-0.00625839
8.45,3.89129,2.32474,0.990113,0.416363,0.436657,0.0171586,-0.0316944,-0.00738768,-0.00639612
8.46,3.89546,2.32911,0.990284,0.416048,0.436582,0.017094,-0.0312846,-0.00757912,-0.00653385
8.47,3.89962,2.33347,0.990455,0.415737,0.436505,0.0170279,-0.0308747,-0.00777057,-0.00667157
8.48,3.90377,2.33784,0.990625,0.41543,0.436427,0.0169605,-0.0304649,-0.00796202,-0.0068093
8.49,3.90792,2.3422,0.990794,0.415128,0.436346,0.0168918,-0.0300551,-0.00815347,-0.00694703
8.5,3.91207,2.34656,0.990962,0.414829,0.436263,0.0168216,-0.0296452,-0.00834492,-0.00708476
