x,y,z
11.3956,0.686871,1.07225
11.4542,0.712989,1.07208
11.5106,0.733915,1.072
11.5659,0.749734,1.07196
11.6205,0.761688,1.07193
11.6744,0.771586,1.07191
11.7286,0.781163,1.07193
11.7843,0.790915,1.07221
11.8414,0.801048,1.07298
11.8994,0.810547,1.07379
11.9587,0.817688,1.07445
12.0191,0.821852,1.07491
12.0784,0.823652,1.07524
12.1357,0.823376,1.0754
12.1924,0.82126,1.07549
12.2499,0.816667,1.07497
12.3075,0.808387,1.07413
12.3651,0.794421,1.07335
12.4237,0.772608,1.07281
12.483,0.744427,1.07251
12.5422,0.71373,1.0723
12.602,0.684516,1.0721
12.6623,0.659683,1.07204
12.7204,0.641081,1.07206
12.774,0.629339,1.07205
12.8251,0.622526,1.07212
12.8772,0.618546,1.07274
12.9408,0.618318,1.07345
13.0237,0.623778,1.074
13.1253,0.637285,1.0745
13.2373,0.657894,1.075
13.3468,0.684269,1.07544
13.443,0.712919,1.07577
13.5234,0.740952,1.07593
13.5902,0.765193,1.0757
13.648,0.783545,1.07485
13.7029,0.796336,1.07389
13.7609,0.803904,1.07312
13.825,0.80643,1.07259
13.8948,0.804555,1.07225
13.9688,0.800605,1.07208
14.0437,0.796792,1.072
14.114,0.794642,1.07201
14.1765,0.794674,1.07205
14.2325,0.796303,1.07205
14.2837,0.797989,1.07201
14.3319,0.797978,1.07203
14.3805,0.795422,1.07255
14.4325,0.790273,1.0733
14.4867,0.782672,1.07406
14.5422,0.77264,1.07466
14.5988,0.761217,1.07509
14.655,0.750124,1.07542
14.7084,0.74044,1.07563
14.7585,0.732343,1.07572
14.806,0.725294,1.07575
14.8514,0.719479,1.07526
14.8958,0.713792,1.07437
14.9392,0.708003,1.07357
14.9828,0.701576,1.07295
15.0271,0.695366,1.07257
15.0724,0.68934,1.07234
15.1205,0.683878,1.07216
15.1715,0.679483,1.07208
15.2232,0.676854,1.07205
15.2742,0.675792,1.0721
15.3246,0.675005,1.07262
15.3736,0.672905,1.07343
15.4209,0.669428,1.07418
15.4675,0.665319,1.07472
15.5158,0.661328,1.0751
15.5676,0.658436,1.07536
15.6221,0.656742,1.07553
15.679,0.656595,1.07565
15.7381,0.657519,1.07567
15.797,0.658963,1.07509
15.853,0.660681,1.07428
15.906,0.662307,1.0735
15.9564,0.663583,1.07294
16.0039,0.664693,1.07259
16.0494,0.666371,1.07239
16.0947,0.669931,1.07224
16.1419,0.674847,1.07214
16.1906,0.681353,1.0721
16.2398,0.689229,1.07261
16.2895,0.698768,1.07343
16.34,0.709632,1.07418
16.3908,0.72104,1.07476
16.4429,0.733687,1.07514
16.4976,0.747438,1.0754
16.5537,0.760668,1.07558
16.6098,0.771945,1.0757
16.6659,0.780789,1.07575
16.7212,0.78632,1.07548
16.7742,0.788891,1.07477
16.825,0.789194,1.07401
16.8758,0.78868,1.0733
16.9287,0.788417,1.07282
16.983,0.788673,1.07253
17.0392,0.789615,1.07227
17.0968,0.791255,1.07215
17.1532,0.793007,1.07212
17.2073,0.794071,1.07239
17.2599,0.794295,1.07314
17.3109,0.793967,1.07396
17.3608,0.793289,1.07461
17.4096,0.792425,1.07503
17.4583,0.791729,1.07534
17.5075,0.792681,1.07557
17.5559,0.795051,1.0757
17.6029,0.797954,1.0757
17.6496,0.800853,1.07512
17.6951,0.803411,1.07425
17.7396,0.805253,1.07353
17.7845,0.806395,1.07297
17.8302,0.806584,1.07259
17.8743,0.806477,1.07234
17.9166,0.806304,1.07221
17.9581,0.805901,1.07212
17.9996,0.805381,1.07206
18.0412,0.805106,1.07225
18.0829,0.804967,1.07297
18.1254,0.804537,1.07377
18.1687,0.8038,1.07448
18.2124,0.803185,1.07495
18.2573,0.802623,1.07529
18.3042,0.801783,1.0755
18.35,0.800685,1.0756
18.3938,0.798983,1.07571
18.4362,0.797241,1.07541
18.4793,0.795605,1.07458
18.522,0.794499,1.07371
18.5633,0.794155,1.07306
18.6052,0.79376,1.07263
18.6483,0.793278,1.07235
18.692,0.79318,1.07219
18.7374,0.793952,1.07208
18.7829,0.796161,1.07203
18.8277,0.799505,1.07202
18.87,0.803795,1.07243
18.9104,0.809688,1.07327
18.9489,0.817066,1.07407
18.9863,0.825983,1.07469
19.024,0.835971,1.07505
19.0633,0.847429,1.07532
19.1049,0.860674,1.07547
19.147,0.874457,1.07562
19.189,0.888121,1.07533
19.2319,0.901963,1.07451
19.2745,0.916281,1.0737
19.3173,0.930189,1.07308
19.3606,0.943685,1.07265
19.4045,0.956911,1.07239
19.4474,0.969811,1.0722
19.4903,0.981622,1.0721
19.5345,0.992626,1.07203
19.5807,1.00248,1.07198
19.6269,1.0118,1.07197
19.6734,1.02015,1.0722
19.7204,1.02785,1.0729
19.767,1.03485,1.07372
19.8129,1.04193,1.07442
19.8597,1.04867,1.07489
19.9071,1.05477,1.07521
19.9531,1.0597,1.07549
19.9955,1.0629,1.0757
20.036,1.06407,1.07583
20.0754,1.06384,1.0757
20.1142,1.06388,1.07495
20.1526,1.0648,1.0741
20.1938,1.06586,1.07332
20.238,1.06665,1.07276
20.285,1.06684,1.07243
20.3328,1.06639,1.07222
20.3793,1.06464,1.07214
20.4206,1.06172,1.07213
20.454,1.05806,1.07211
20.4783,1.05443,1.07207
20.4949,1.05059,1.07202
20.5045,1.04627,1.07209
20.5061,1.04184,1.07274
20.4976,1.03803,1.0736
20.476,1.0338,1.07435
20.4382,1.02905,1.0748
20.3808,1.0238,1.07508
